name,company_type,supplier_rank,customer_rank,is_company,country_id,comment
24hPara,company,1,0,True,Maroc,Marketplace / Fournisseur parapharmacie
Côté Para,company,1,0,True,Maroc,Marketplace / Fournisseur parapharmacie
HeyPara,company,1,0,True,Maroc,Marketplace / Fournisseur parapharmacie
Inty,company,1,0,True,Maroc,Marketplace / Fournisseur parapharmacie
LaMaisonPara,company,1,0,True,Maroc,Marketplace / Fournisseur parapharmacie
Mapara,company,1,0,True,Maroc,Marketplace / Fournisseur parapharmacie
NovaPara,company,1,0,True,Maroc,Marketplace / Fournisseur parapharmacie
Parabioty,company,1,0,True,Maroc,Marketplace / Fournisseur parapharmacie
Paranova,company,1,0,True,Maroc,Marketplace / Fournisseur parapharmacie
